0,2569.323,10.755,9003.115,369.978,73.928,85.026,77.091,86.91,280.046,249.712,123.798,219.152,291.915,230.017,1692.025,1667.16,9027.905,0
2569.323,0,2578.785,7769.321,2825.6,2601.332,2596.09,2638.14,2655.959,2694.315,2674.235,2489.214,2473.39,2716.722,2575.882,1039.252,1047.477,7513.187,0
10.755,2578.785,0,9012.431,367.772,65.609,77.659,71.566,77.193,281.104,251.059,126.632,219.346,292.252,225.23,1702.513,1677.622,9037.828,0
9003.115,7769.321,9012.431,0,8895.06,9076.551,9085.595,9009.154,9054.522,8845.28,8857.204,9039.746,9114.465,8855.07,9197.63,7792.403,7821.987,831.291,0
369.978,2825.6,367.772,8895.06,0,405.654,420.592,299.741,325.896,131.727,155.346,493.775,585.578,109.376,565.328,1880.48,1859.122,8965.681,0
73.928,2601.332,65.609,9076.551,405.654,0,15.148,108.839,81.705,333.378,304.633,115.884,184.397,341.85,166.559,1740.981,1715.562,9099.668,0
85.026,2596.09,77.659,9085.595,420.592,15.148,0,123.981,96.006,348.401,319.578,107.973,170.782,356.963,151.658,1739.887,1714.324,9107.1,0
77.091,2638.14,71.566,9009.154,299.741,108.839,123.981,0,45.881,225.37,197.404,197.551,285.875,233.14,274.726,1749.393,1725.059,9043.654,0
86.91,2655.959,77.193,9054.522,325.896,81.705,96.006,45.881,0,264.414,237.919,189.053,265.963,269.956,240.402,1777.419,1752.714,9087.788,0
280.046,2694.315,281.104,8845.28,131.727,333.378,348.401,225.37,264.414,0,31.032,399.875,498.87,22.411,499.842,1753.93,1732.147,8900.789,0
249.712,2674.235,251.059,8857.204,155.346,304.633,319.578,197.404,237.919,31.032,0,369.037,468.306,48.866,471.191,1739.248,1717.135,8908.965,0
123.798,2489.214,126.632,9039.746,493.775,115.884,107.973,197.551,189.053,399.875,369.037,0,102.659,413.256,157.94,1641.996,1616.005,9049.222,0
219.152,2473.39,219.346,9114.465,585.578,184.397,170.782,285.875,265.963,498.87,468.306,102.659,0,511.064,106.392,1658.28,1631.375,9114.41,0
291.915,2716.722,292.252,8855.07,109.376,341.85,356.963,233.14,269.956,22.411,48.866,413.256,511.064,0,507.817,1775.783,1754.059,8913.068,0
230.017,2575.882,225.23,9197.63,565.328,166.559,151.658,274.726,240.402,499.842,471.191,157.94,106.392,507.817,0,1764.56,1737.692,9205.301,0
1692.025,1039.252,1702.513,7792.403,1880.48,1740.981,1739.887,1749.393,1777.419,1753.93,1739.248,1641.996,1658.28,1775.783,1764.56,0,30.222,7673.385,0
1667.16,1047.477,1677.622,7821.987,1859.122,1715.562,1714.324,1725.059,1752.714,1732.147,1717.135,1616.005,1631.375,1754.059,1737.692,30.222,0,7703.529,0
9027.905,7513.187,9037.828,831.291,8965.681,9099.668,9107.1,9043.654,9087.788,8900.789,8908.965,9049.222,9114.41,8913.068,9205.301,7673.385,7703.529,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
